time,open,high,low,close,volume,prev_close,tr,max_20_donchian,min_20_donchian,max_10_donchian,min_10_donchian
2024-12-20 00:00:00+00:00,3.39300000,3.39300000,3.39300000,3.39300000,1,,0E-8,,,,
2024-12-23 00:00:00+00:00,3.38900000,3.39300000,3.00900000,3.39300000,6,3.39300000,0.38400000,,,,
2024-12-24 00:00:00+00:00,3.35100000,3.38800000,3.35100000,3.38800000,15,3.39300000,0.04200000,,,,
2024-12-25 00:00:00+00:00,3.38800000,3.39000000,3.11500000,3.32000000,119,3.38800000,0.27500000,,,,
2024-12-26 00:00:00+00:00,3.01300000,3.33300000,3.00900000,3.28000000,107,3.32000000,0.32400000,,,,
2024-12-27 00:00:00+00:00,3.28000000,3.28000000,3.12100000,3.21200000,528,3.28000000,0.15900000,,,,
2024-12-28 00:00:00+00:00,3.13100000,3.23000000,3.13000000,3.23000000,608,3.21200000,0.10000000,,,,
2024-12-30 00:00:00+00:00,3.13100000,3.37500000,3.13100000,3.25400000,560,3.23000000,0.24400000,,,,
2025-01-03 00:00:00+00:00,3.24500000,3.24800000,3.17700000,3.17700000,520,3.25400000,0.07700000,,,,
2025-01-06 00:00:00+00:00,3.30000000,3.30000000,3.18000000,3.23000000,40,3.17700000,0.12300000,,,3.393,3.009
2025-01-08 00:00:00+00:00,3.21100000,3.27000000,3.20000000,3.20800000,81,3.23000000,0.07000000,,,3.393,3.009
2025-01-09 00:00:00+00:00,3.29500000,3.33000000,3.15000000,3.33000000,150,3.20800000,0.18000000,,,3.39,3.009
2025-01-10 00:00:00+00:00,3.32800000,3.46500000,3.26100000,3.43300000,562,3.33000000,0.20400000,,,3.465,3.009
2025-01-13 00:00:00+00:00,3.77700000,3.84300000,3.33500000,3.48500000,1264,3.43300000,0.50800000,,,3.843,3.009
2025-01-14 00:00:00+00:00,3.58900000,3.59000000,3.34600000,3.46500000,485,3.48500000,0.24400000,,,3.843,3.121
2025-01-15 00:00:00+00:00,3.50900000,3.50900000,3.38000000,3.48000000,360,3.46500000,0.12900000,,,3.843,3.13
2025-01-16 00:00:00+00:00,3.55000000,3.74400000,3.43000000,3.70000000,379,3.48000000,0.31400000,,,3.843,3.131
2025-01-17 00:00:00+00:00,3.57200000,3.77600000,3.57200000,3.60100000,373,3.70000000,0.20400000,,,3.843,3.15
2025-01-20 00:00:00+00:00,3.60100000,3.60500000,3.41600000,3.55200000,379,3.60100000,0.18900000,,,3.843,3.15
2025-01-21 00:00:00+00:00,3.51100000,3.57600000,3.51100000,3.51100000,48,3.55200000,0.06500000,3.843,3.009,3.843,3.15
2025-01-22 00:00:00+00:00,3.49100000,3.61300000,3.47700000,3.52200000,545,3.51100000,0.13600000,3.843,3.009,3.843,3.15
2025-01-23 00:00:00+00:00,3.52600000,3.63500000,3.52500000,3.56200000,665,3.52200000,0.11300000,3.843,3.009,3.843,3.261
2025-01-24 00:00:00+00:00,3.61000000,3.63300000,3.56700000,3.63300000,345,3.56200000,0.07100000,3.843,3.009,3.843,3.335
2025-01-27 00:00:00+00:00,3.62700000,3.62700000,3.37300000,3.42500000,1307,3.63300000,0.26000000,3.843,3.009,3.776,3.346
