figi,interval,open,high,low,close,volume,time_candle,last_trade_ts,instrument_uid,depth,bids_count,volume_order,asks_count,volume_asks,time_orderbook,limit_up,limit_down
FUTNG1224000,1,3.169,3.169,3.167,3.169,143,2024-12-10 08:09:00,2024-12-10 08:09:53,2f52fac0-36a0-4e7c-82f4-2f87beed762f,40,17311,54648.456,13187,41916.37,2024-12-10 08:09:59,3.488,2.864
FUTNG1224000,1,3.169,3.169,3.168,3.168,50,2024-12-10 08:10:00,2024-12-10 08:10:59,2f52fac0-36a0-4e7c-82f4-2f87beed762f,40,17389,54895.201,13280,42207.726,2024-12-10 08:10:59,3.488,2.864
FUTNG1224000,1,3.169,3.169,3.167,3.167,248,2024-12-10 08:11:00,2024-12-10 08:11:56,2f52fac0-36a0-4e7c-82f4-2f87beed762f,40,15664,49418.351,13538,43018.627,2024-12-10 08:11:57,3.488,2.864
FUTNG1224000,1,3.167,3.167,3.165,3.167,427,2024-12-10 08:12:00,2024-12-10 08:12:52,2f52fac0-36a0-4e7c-82f4-2f87beed762f,40,15273,48173.092,13640,43329.702,2024-12-10 08:12:59,3.488,2.864
FUTNG1224000,1,3.166,3.167,3.165,3.165,138,2024-12-10 08:13:00,2024-12-10 08:13:54,2f52fac0-36a0-4e7c-82f4-2f87beed762f,40,14841,46796.077,14049,44611.119,2024-12-10 08:13:59,3.488,2.864
FUTNG1224000,1,3.166,3.166,3.162,3.163,882,2024-12-10 08:14:00,2024-12-10 08:14:56,2f52fac0-36a0-4e7c-82f4-2f87beed762f,40,14066,44329.606,12939,41067.053,2024-12-10 08:14:59,3.488,2.864
FUTNG1224000,1,3.163,3.168,3.163,3.165,1700,2024-12-10 08:15:00,2024-12-10 08:15:58,2f52fac0-36a0-4e7c-82f4-2f87beed762f,40,15047,47453.338,12811,40693.689,2024-12-10 08:15:59,3.488,2.864
