time,open,high,low,close,volume,prev_close,tr,max_20_donchian,min_20_donchian,max_10_donchian,min_10_donchian
2024-03-18 00:00:00+00:00,3308.00000000,3368.00000000,3297.00000000,3300.50000000,9121,3306.50000000,71.00000000,3368.0,3112.5,3368.0,3275.0
2024-03-19 00:00:00+00:00,3299.00000000,3307.50000000,3256.00000000,3268.50000000,15655,3300.50000000,51.50000000,3368.0,3112.5,3368.0,3256.0
2024-03-20 00:00:00+00:00,3269.00000000,3290.00000000,3265.00000000,3281.50000000,8162,3268.50000000,25.00000000,3368.0,3112.5,3368.0,3256.0
2024-03-21 00:00:00+00:00,3284.00000000,3304.00000000,3262.50000000,3288.50000000,14841,3281.50000000,41.50000000,3368.0,3112.5,3368.0,3256.0
2024-03-22 00:00:00+00:00,3290.00000000,3303.00000000,3227.50000000,3246.00000000,27879,3288.50000000,75.50000000,3368.0,3146.5,3368.0,3227.5
2024-03-25 00:00:00+00:00,3258.00000000,3288.00000000,3228.00000000,3288.00000000,16865,3246.00000000,60.00000000,3368.0,3175.0,3368.0,3227.5
2024-03-26 00:00:00+00:00,3288.50000000,3292.50000000,3276.00000000,3291.50000000,5587,3288.00000000,16.50000000,3368.0,3206.0,3368.0,3227.5
2024-03-27 00:00:00+00:00,3292.50000000,3317.00000000,3281.50000000,3311.50000000,5336,3291.50000000,35.50000000,3368.0,3215.0,3368.0,3227.5
2024-03-28 00:00:00+00:00,3311.50000000,3317.00000000,3304.00000000,3313.00000000,4138,3311.50000000,13.00000000,3368.0,3227.5,3368.0,3227.5
2024-03-29 00:00:00+00:00,3313.00000000,3337.50000000,3309.00000000,3334.50000000,6311,3313.00000000,28.50000000,3368.0,3227.5,3368.0,3227.5
2024-04-01 00:00:00+00:00,3337.00000000,3375.50000000,3336.00000000,3370.00000000,8808,3334.50000000,41.00000000,3375.5,3227.5,3375.5,3227.5
2024-04-02 00:00:00+00:00,3370.00000000,3380.00000000,3360.00000000,3380.00000000,6980,3370.00000000,20.00000000,3380.0,3227.5,3380.0,3227.5
2024-04-03 00:00:00+00:00,3383.00000000,3399.50000000,3374.50000000,3396.50000000,5843,3380.00000000,25.00000000,3399.5,3227.5,3399.5,3227.5
2024-04-04 00:00:00+00:00,3396.50000000,3413.00000000,3394.00000000,3400.00000000,9126,3396.50000000,19.00000000,3413.0,3227.5,3413.0,3227.5
2024-04-05 00:00:00+00:00,3398.50000000,3406.00000000,3388.00000000,3400.00000000,6196,3400.00000000,18.00000000,3413.0,3227.5,3413.0,3228.0
2024-04-08 00:00:00+00:00,3404.00000000,3429.00000000,3400.00000000,3419.50000000,7784,3400.00000000,29.00000000,3429.0,3227.5,3429.0,3276.0
2024-04-09 00:00:00+00:00,3423.00000000,3442.50000000,3412.50000000,3420.50000000,10355,3419.50000000,30.00000000,3442.5,3227.5,3442.5,3281.5
2024-04-10 00:00:00+00:00,3420.50000000,3449.50000000,3407.00000000,3442.50000000,8820,3420.50000000,42.50000000,3449.5,3227.5,3449.5,3304.0
2024-04-11 00:00:00+00:00,3440.50000000,3459.50000000,3436.00000000,3446.50000000,6615,3442.50000000,23.50000000,3459.5,3227.5,3459.5,3309.0
2024-04-12 00:00:00+00:00,3446.50000000,3469.00000000,3445.00000000,3460.50000000,8978,3446.50000000,24.00000000,3469.0,3227.5,3469.0,3336.0
2024-04-15 00:00:00+00:00,3463.50000000,3480.00000000,3456.50000000,3478.00000000,7728,3460.50000000,23.50000000,3480.0,3227.5,3480.0,3360.0
2024-04-16 00:00:00+00:00,3476.00000000,3483.00000000,3461.50000000,3467.50000000,7169,3478.00000000,21.50000000,3483.0,3227.5,3483.0,3374.5
2024-04-17 00:00:00+00:00,3471.00000000,3478.00000000,3444.00000000,3451.00000000,11367,3467.50000000,34.00000000,3483.0,3227.5,3483.0,3388.0
2024-04-18 00:00:00+00:00,3451.00000000,3465.00000000,3440.00000000,3462.00000000,6935,3451.00000000,25.00000000,3483.0,3227.5,3483.0,3388.0
2024-04-19 00:00:00+00:00,3462.00000000,3480.50000000,3453.50000000,3473.00000000,7325,3462.00000000,27.00000000,3483.0,3228.0,3483.0,3400.0
2024-04-22 00:00:00+00:00,3472.00000000,3481.50000000,3465.00000000,3480.50000000,7654,3473.00000000,16.50000000,3483.0,3276.0,3483.0,3407.0
2024-04-23 00:00:00+00:00,3480.00000000,3493.00000000,3433.00000000,3442.00000000,16877,3480.50000000,60.00000000,3493.0,3281.5,3493.0,3407.0
2024-04-24 00:00:00+00:00,3438.50000000,3450.00000000,3423.50000000,3434.00000000,15931,3442.00000000,26.50000000,3493.0,3304.0,3493.0,3423.5
2024-04-25 00:00:00+00:00,3434.50000000,3451.50000000,3428.50000000,3450.00000000,11654,3434.00000000,23.00000000,3493.0,3309.0,3493.0,3423.5
2024-04-26 00:00:00+00:00,3450.00000000,3470.00000000,3441.50000000,3457.50000000,12249,3450.00000000,28.50000000,3493.0,3336.0,3493.0,3423.5
2024-04-27 00:00:00+00:00,3465.00000000,3480.00000000,3454.50000000,3479.50000000,7345,3457.50000000,25.50000000,3493.0,3360.0,3493.0,3423.5
2024-04-29 00:00:00+00:00,3480.00000000,3494.50000000,3465.00000000,3481.00000000,7917,3479.50000000,29.50000000,3494.5,3374.5,3494.5,3423.5
