time,open,high,low,close,volume,prev_close,tr,max_20_donchian,min_20_donchian,max_10_donchian,min_10_donchian
2024-12-12 00:00:00+00:00,3.52500000,3.52500000,3.16500000,3.16500000,2,,0.36000000,,,,
2024-12-13 00:00:00+00:00,3.52000000,3.85000000,3.29700000,3.29700000,5,3.16500000,0.68500000,,,,
2024-12-17 00:00:00+00:00,3.22200000,3.22200000,2.78700000,3.01200000,194,3.29700000,0.51000000,,,,
2024-12-18 00:00:00+00:00,3.10900000,3.11000000,2.80400000,2.88800000,50,3.01200000,0.30600000,,,,
2024-12-19 00:00:00+00:00,2.89900000,3.24200000,2.73600000,2.97700000,7758,2.88800000,0.50600000,,,,
2024-12-20 00:00:00+00:00,2.93100000,3.01500000,2.93100000,2.98900000,209,2.97700000,0.08400000,,,,
2024-12-23 00:00:00+00:00,3.08000000,3.08000000,2.88100000,2.90700000,441,2.98900000,0.19900000,,,,
2024-12-24 00:00:00+00:00,2.90700000,3.10800000,2.90600000,3.02100000,2015,2.90700000,0.20200000,,,,
2024-12-25 00:00:00+00:00,3.02100000,3.02100000,2.95100000,3.02000000,409,3.02100000,0.07000000,,,,
2024-12-26 00:00:00+00:00,3.00000000,3.09300000,2.85000000,2.90000000,5305,3.02000000,0.24300000,,,3.85,2.736
2024-12-27 00:00:00+00:00,2.94000000,2.97900000,2.86800000,2.93300000,1051,2.90000000,0.11100000,,,3.85,2.736
2024-12-28 00:00:00+00:00,2.91600000,3.12400000,2.88500000,2.97900000,3592,2.93300000,0.23900000,,,3.242,2.736
2024-12-30 00:00:00+00:00,3.00100000,3.24300000,2.91700000,3.13100000,8486,2.97900000,0.32600000,,,3.243,2.736
2025-01-03 00:00:00+00:00,3.10500000,3.13000000,2.95600000,2.99500000,4238,3.13100000,0.17500000,,,3.243,2.736
2025-01-06 00:00:00+00:00,3.00500000,3.10400000,2.99600000,3.03700000,2116,2.99500000,0.10900000,,,3.243,2.85
2025-01-08 00:00:00+00:00,3.04600000,3.33300000,3.04000000,3.10100000,4113,3.03700000,0.29600000,,,3.333,2.85
2025-01-09 00:00:00+00:00,3.10100000,3.23000000,3.04000000,3.19100000,5841,3.10100000,0.19000000,,,3.333,2.85
2025-01-10 00:00:00+00:00,3.21900000,3.29200000,3.15000000,3.22000000,3454,3.19100000,0.14200000,,,3.333,2.85
2025-01-13 00:00:00+00:00,3.22100000,3.67000000,3.22100000,3.38800000,21005,3.22000000,0.45000000,,,3.67,2.85
2025-01-14 00:00:00+00:00,3.34400000,3.56000000,3.20000000,3.33800000,12484,3.38800000,0.36000000,3.85,2.736,3.67,2.868
2025-01-15 00:00:00+00:00,3.38100000,3.50000000,3.31600000,3.47700000,6031,3.33800000,0.18400000,3.85,2.736,3.67,2.885
2025-01-16 00:00:00+00:00,3.43200000,3.68400000,3.38700000,3.66500000,6578,3.47700000,0.29700000,3.684,2.736,3.684,2.917
2025-01-17 00:00:00+00:00,3.59100000,3.62800000,3.33900000,3.42000000,9250,3.66500000,0.32600000,3.684,2.736,3.684,2.956
2025-01-20 00:00:00+00:00,3.40800000,3.43200000,3.28900000,3.38600000,3785,3.42000000,0.14300000,3.684,2.736,3.684,2.996
2025-01-21 00:00:00+00:00,3.41100000,3.45900000,3.31700000,3.39700000,7102,3.38600000,0.14200000,3.684,2.85,3.684,3.04
2025-01-22 00:00:00+00:00,3.33900000,3.48000000,3.33300000,3.47000000,6108,3.39700000,0.14700000,3.684,2.85,3.684,3.04
2025-01-23 00:00:00+00:00,3.47000000,3.56100000,3.40000000,3.46100000,5410,3.47000000,0.16100000,3.684,2.85,3.684,3.15
2025-01-24 00:00:00+00:00,3.45100000,3.47900000,3.33400000,3.40000000,7384,3.46100000,0.14500000,3.684,2.85,3.684,3.2
2025-01-27 00:00:00+00:00,3.39900000,3.40900000,3.21500000,3.27900000,11276,3.40000000,0.19400000,3.684,2.85,3.684,3.2
2025-01-28 00:00:00+00:00,3.28200000,3.29000000,3.15000000,3.15900000,11315,3.27900000,0.14000000,3.684,2.868,3.684,3.15
2025-01-29 00:00:00+00:00,3.16000000,3.22500000,3.10400000,3.20400000,22281,3.15900000,0.12100000,3.684,2.885,3.684,3.104
2025-01-30 00:00:00+00:00,3.22400000,3.25500000,3.07300000,3.09300000,35045,3.20400000,0.18200000,3.684,2.917,3.628,3.073
2025-01-31 00:00:00+00:00,3.10300000,3.12000000,3.03000000,3.09200000,21860,3.09300000,0.09000000,3.684,2.956,3.561,3.03
2025-02-03 00:00:00+00:00,3.22800000,3.38200000,3.22800000,3.32200000,40868,3.09200000,0.29000000,3.684,2.996,3.561,3.03
2025-02-04 00:00:00+00:00,3.30000000,3.31600000,3.18000000,3.25000000,39382,3.32200000,0.14200000,3.684,3.03,3.561,3.03
2025-02-05 00:00:00+00:00,3.23000000,3.36200000,3.18300000,3.35100000,29732,3.25000000,0.17900000,3.684,3.03,3.561,3.03
2025-02-06 00:00:00+00:00,3.33700000,3.41200000,3.30700000,3.37500000,23725,3.35100000,0.10500000,3.684,3.03,3.479,3.03
2025-02-07 00:00:00+00:00,3.37900000,3.41400000,3.30000000,3.30100000,22814,3.37500000,0.11400000,3.684,3.03,3.414,3.03
2025-02-10 00:00:00+00:00,3.37700000,3.47200000,3.35200000,3.45100000,37516,3.30100000,0.17100000,3.684,3.03,3.472,3.03
2025-02-11 00:00:00+00:00,3.45500000,3.55700000,3.45500000,3.52100000,24563,3.45100000,0.10600000,3.684,3.03,3.557,3.03
2025-02-12 00:00:00+00:00,3.51600000,3.57400000,3.47500000,3.55900000,27384,3.52100000,0.09900000,3.684,3.03,3.574,3.03
2025-02-13 00:00:00+00:00,3.62000000,3.74800000,3.58700000,3.61000000,25794,3.55900000,0.18900000,3.748,3.03,3.748,3.03
2025-02-14 00:00:00+00:00,3.69500000,3.75800000,3.64100000,3.70600000,27128,3.61000000,0.14800000,3.758,3.03,3.758,3.18
2025-02-17 00:00:00+00:00,3.68000000,3.69400000,3.51700000,3.58900000,37764,3.70600000,0.18900000,3.758,3.03,3.758,3.18
2025-02-18 00:00:00+00:00,3.57800000,3.94700000,3.55200000,3.85900000,90557,3.58900000,0.39500000,3.947,3.03,3.947,3.183
2025-02-19 00:00:00+00:00,3.88100000,4.23900000,3.88100000,4.20800000,128783,3.85900000,0.38000000,4.239,3.03,4.239,3.3
2025-02-20 00:00:00+00:00,4.20800000,4.21900000,3.96400000,4.05200000,111767,4.20800000,0.25500000,4.239,3.03,4.239,3.3
2025-02-21 00:00:00+00:00,4.13300000,4.28000000,4.05000000,4.13000000,143677,4.05200000,0.23000000,4.28,3.03,4.28,3.352
2025-02-24 00:00:00+00:00,4.03000000,4.03000000,3.86800000,3.98000000,190440,4.13000000,0.26200000,4.28,3.03,4.28,3.455
2025-02-25 00:00:00+00:00,3.99700000,4.11600000,3.93200000,4.06400000,215267,3.98000000,0.18400000,4.28,3.03,4.28,3.475
2025-02-26 00:00:00+00:00,4.11700000,4.14400000,4.03900000,4.04200000,175008,4.06400000,0.10500000,4.28,3.03,4.28,3.517
